run_name,hypothesis,changed_factor,class_weight,training_seconds,valid_for_selection,accuracy,macro_f1,pothole_precision,pothole_recall,normal_recall,roc_auc
naive_majority_v1,Always predicting the majority class is the simplest floor.,naive majority rule,not applicable,0.0,yes,0.724324,0.420063,0.724324,1.000000,0.000000,0.500000
cnn_unweighted_v1,A compact CNN can learn road-image patterns beyond the majority rule.,simple CNN model,none,1141.9,yes,0.789189,0.673898,0.795031,0.955224,0.352941,0.867574
cnn_class_weighted_v2,Class weights improve Normal recall and Macro F1 without changing the CNN architecture.,class_weight: none to balanced weights,Normal=1.822; Pothole=0.689,1045.3,yes,0.821622,0.775295,0.874074,0.880597,0.666667,0.846064
mobilenetv2_frozen_v3,Result invalid because random augmentation was applied during validation and inference.,invalid preprocessing boundary,Normal=1.822; Pothole=0.689,1278.0,no,0.929730,0.915463,0.976378,0.925373,0.941176,0.983611
mobilenetv2_frozen_v4,Frozen ImageNet MobileNetV2 with correct training-only augmentation improves validation performance.,corrected augmentation boundary; frozen MobileNetV2 transfer learning,Normal=1.822; Pothole=0.689,635.4,yes,0.945946,0.933126,0.969697,0.955224,0.921569,0.985806
