run_name,hypothesis,changed_factor,class_weight,training_seconds,accuracy,macro_f1,pothole_precision,pothole_recall,no_pothole_recall,roc_auc
v2_naive_no_pothole,Always predicting the validation majority class establishes a reference floor.,naive majority rule,not applicable,0.0,0.689655,0.408163,0.0,0.0,1.0,0.5
v2_cnn_unweighted,A compact CNN can learn road-image patterns beyond the naive majority rule.,simple CNN model,none,1248.6,0.689655,0.408163,0.0,0.0,1.0,0.470909
v2_cnn_class_weighted,Class weights improve pothole recall and macro F1 without changing the compact CNN architecture.,class weights only,No_pothole=0.851; Pothole=1.211,997.1,0.577586,0.479609,0.280899,0.231481,0.733333,0.492940
v2_mobilenetv2_frozen,Frozen ImageNet MobileNetV2 improves the compact-CNN baseline on the Rome road images.,model family: frozen MobileNetV2,No_pothole=0.851; Pothole=1.211,811.9,0.566092,0.538563,0.361290,0.518519,0.587500,0.548495
v2_mobilenetv2_finetuned,Cautious final-layer fine-tuning improves balanced validation performance over frozen MobileNetV2.,unfreeze final 10 MobileNetV2 layers with 1e-5 learning rate,No_pothole=0.851; Pothole=1.211,642.7,0.557471,0.539904,0.366279,0.583333,0.545833,0.557022
